State,sum_cases
AK,67591
AL,128011
AR,124772
AZ,121464
CA,13290
CO,112276
CT,84905
DC,49041
DE,105652
FL,40486
GA,100890
GU,8193
HI,34720
IA,146011
ID,111618
IL,48744
IN,151303
KS,51508
KY,120700
LA,116756
MA,82455
MD,173353
ME,49749
MI,100337
MN,149327
MO,91726
MP,183
MS,135857
MT,87408
NC,55779
ND,74699
NE,113618
NH,91128
NJ,81367
NM,91828
NV,133489
NY,89490
OH,114311
OK,100881
OR,133782
PA,109058
PR,109609
RI,84410
SC,123860
SD,82339
TN,72747
TX,39062
UT,119457
VA,172715
VI,3512
VT,24240
WA,142783
WI,136583
WV,101913
WY,47425
